Raw Data Table of Freshwater Salinization at Each Source,,,,,,,,,,,
,Freshwater Source,Trial #,pH ,Conductivity (Âµs),Salinity (ppt),Total Dissolved Solids (ppm),"Zinc (0, 2, 5, 10, 20, 40, 100 ppm)","Nitrite (0, 0.5, 1.0, 5.0, 10, 25 ppm)","Nitrate (0, 10, 25, 50, 100, 250, 500 ppm)","Copper (0, 0.05, 0.1, 0.2, 0.4, 1, 2 ppm)","Water Metals Check for Heavy Metals (Cu^+2, Co^+2, Zn^+2, Cd^+2, Ni^+2, Hg^+2)"
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
Streams,Gravelly Brook: 10/2/21,#1,4.34,334,0.17,246,0,0,10,0,10
,,#2,4.35,343,0.18,251,0,0,0,0,10
,,#3,4.35,343,0.17,248,0,0,0,0,10
,Big Brook: 10/2/21,#1,7.58,360,0.19,265,0,0,10,0,0
,,#2,7.59,373,0.18,271,0,0,10,0,0
,,#3,7.60,367,0.19,271,0,0,10,0,0
Rivers,Passiac River: 10/3/21,#1,7.90,740,0.38,537,0,0,10,0,0
,,#2,7.98,732,0.37,535,0,0,10,0,0
,,#3,7.87,749,0.37,524,0,0,10,0,0
,Ramapo River: 10/3/21,#1,8.50,524,0.27,383,0,0,10,0,0
,,#2,8.51,539,0.27,373,0,0,10,0,0
,,#3,8.43,533,0.27,384,0,0,10,0,0
Ponds,Shark River Park Pond: 11/6/21,#1,5.69,504,0.25,356,0,0,0,0,0
,,#2,5.74,488,0.24,349,0,0,0,0,0
,,#3,5.69,507,0.25,358,0,0,0,0,0
,Holmdel Park Pond: 11/6/21,#1,6.93,233,0.12,165,0,0,0,0,0
,,#2,6.94,237,0.12,169,0,0,0,0,0
,,#3,6.92,236,0.12,167,0,0,0,0,0
Lakes,Lake Topanemus: 11/14/21,#1,7.00,224,0.11,158,0,0,0,0,0
,,#2,6.53,218,0.11,155,0,0,0,0,0
,,#3,7.00,221,0.11,157,0,0,0,0,0
,Marlu Lake: 10/2/21,#1,7.10,226,0.12,165,0,0,0,0,0
,,#2,7.13,250,0.13,180,0,0,0,0,0
,,#3,7.13,245,0.12,178,0,0,0,0,0
Wetlands,Hatfield Swamp: 10/3/21,#1,8.00,946,0.49,721,0,0,10,0,0
,,#2,7.90,999,0.49,713,0,0,10,0,0
,,#3,8.04,1089,0.53,772,0,0,10,0,0
,Great Piece Meadows: 10/3/21,#1,7.41,227,0.12,165,0,0,0,0,0
,,#2,7.34,225,0.11,160,0,0,0,0,0
,,#3,7.40,223,0.11,159,0,0,0,0,0