Summative Data Table of pH Levels of Five Types of Freshwater,,,,,,,Summative Data Table of Nitrite Levels of Five Types of Freshwater (ppm),,,,,
,Streams,Rivers,Ponds,Lakes,Wetlands,,,Streams,Rivers,Ponds,Lakes,Wetlands
Mean,5.97,8.20,6.32,6.98,7.68,,Mean,0,0,0,0,0
Standard Dev.,1.78,0.31,0.67,0.23,0.33,,Standard Dev.,0,0,0,0,0
Variance,3.16,0.10,0.45,0.05,0.11,,Variance,0,0,0,0,0
n,6,6,6,6,6,,n,6,6,6,6,6
,,,,,,,,,,,,
Summative Data Table of Conductivity Levels of Five Types of Freshwater (Âµs),,,,,,,Summative Data Table of Nitrate Levels of Five Types of Freshwater (ppm),,,,,
,Streams,Rivers,Ponds,Lakes,Wetlands,,,Streams,Rivers,Ponds,Lakes,Wetlands
Mean,353,636,368,231,618,,Mean,6.7,10,0,0,5
Standard Dev.,15.5,114,145,13.4,433,,Standard Dev.,5.2,0,0,0,5.5
Variance,241,13073,21005,180,187588,,Variance,27,0,0,0,30
n,6,6,6,6,6,,n,6,6,6,6,6
,,,,,,,,,,,,
Summative Data Table of Salinity Levels of Five Types of Freshwater (ppt),,,,,,,Summative Data Table of Copper Levels of Five Types of Freshwater (ppm),,,,,
,Streams,Rivers,Ponds,Lakes,Wetlands,,,Streams,Rivers,Ponds,Lakes,Wetlands
Mean,0.18,0.32,0.18,0.12,0.31,,Mean,0,0,0,0,0
Standard Dev.,0.009,0.057,0.069,0.008,0.214,,Standard Dev.,0,0,0,0,0
Variance,0.00008,0.003,0.005,0.00007,0.046,,Variance,0,0,0,0,0
n,6,6,6,6,6,,n,6,6,6,6,6
,,,,,,,,,,,,
Summative Data Table of Total Dissolved Solids Levels of Five Types of Freshwater (ppm),,,,,,,Summative Data Table of Heavy Metal Levels of Five Types of Freshwater,,,,,
,Streams,Rivers,Ponds,Lakes,Wetlands,,,Streams,Rivers,Ponds,Lakes,Wetlands
Mean,259,456,261,166,448,,Mean,5,0,0,0,0
Standard Dev.,11.6,83.5,103,11.0,315,,Standard Dev.,5.5,0,0,0,0
Variance,135,6966,10539,121,99257,,Variance,30,0,0,0,0
n,6,6,6,6,6,,n,6,6,6,6,6
,,,,,,,,,,,,
Summative Data Table of Zinc Levels of Five Types of Freshwater (ppm),,,,,,,,,,,,
,Streams,Rivers,Ponds,Lakes,Wetlands,,,,,,,
Mean,0,0,0,0,0,,,,,,,
Standard Dev.,0,0,0,0,0,,,,,,,
Variance,0,0,0,0,0,,,,,,,
n,6,6,6,6,6,,,,,,,